satellite,target,start_time,end_time
Sat3,cluster_8_target_0_136547290419056,2727.782802867208,2988.130554004028
Sat3,cluster_9_target_0_136547290425392,2850.5081947570566,3100.4490007413992
Sat3,cluster_10_target_0_136547289236048,2943.376796800616,3204.8128678867524
Sat3,cluster_11_target_0_136547289242432,3042.4580551866975,3246.203458144091
Sat3,cluster_12_target_0_136547289248144,3109.930321764302,3366.8535767559783
Sat3,cluster_13_target_0_136547289237104,3298.194566879786,3470.543399439708
Sat3,cluster_14_target_0_136547289242816,3360.9700884836957,3622.3280712259098
Sat3,cluster_15_target_0_136547289243056,3524.4655659648884,3633.2218386660456
Sat3,cluster_16_target_0_136547289242768,3568.8123937688806,3793.9190630935177
Sat3,cluster_17_target_0_136547289237824,3674.23073261579,3883.766961614075
Sat3,cluster_18_target_0_136547289237920,3744.680115850921,3981.532006011982
Sat3,cluster_19_target_0_136547289237296,3895.5565581869496,4082.1199904705923
Sat3,cluster_20_target_0_136547289236768,3974.5588453466326,4190.716402626058
Sat3,cluster_21_target_0_136547289243200,4023.3011832243033,4278.676259595898
Sat3,cluster_22_target_0_136547289246512,4200.596063205266,4434.7162269677465
Sat3,cluster_23_target_0_136547289246656,4257.588936221293,4502.700723940355
Sat3,cluster_24_target_0_136547289245792,4381.853858833041,4626.609790166475
Sat3,cluster_25_target_0_136547289246128,4466.438463473323,4671.0469251570385
Sat3,cluster_26_target_0_136547289246464,4617.268394702411,4764.411437734575
Sat3,cluster_27_target_0_136547289246368,4609.7931993203865,4871.460675260007
Sat3,cluster_28_target_0_136547289246560,4738.406658992456,5004.790695584612
Sat3,cluster_29_target_0_136547289246896,4821.4761904367615,5086.7186742901
Sat3,cluster_30_target_0_136547289239024,4949.987296466772,5216.389412684466
Sat3,cluster_31_target_0_136547289246800,5089.7212086285435,5338.950709929535
Sat3,cluster_32_target_0_136547289239168,5143.507617442199,5401.445004598334
Sat3,cluster_33_target_0_136547289238544,5254.9875390999605,5508.02461646185
Sat3,cluster_34_target_0_136547289238640,5376.724933101516,5625.162255368129
Sat3,cluster_35_target_0_136547289248480,5437.709255212562,5705.1906019516055
Sat3,cluster_36_target_0_136547289248384,5522.305004792721,5760.452833281996
Sat3,cluster_37_target_0_136547289235520,5656.911066104902,5916.543219836932
Sat3,cluster_38_target_0_136547289235664,5733.0530200307085,6000.342986679144
Sat3,cluster_39_target_0_136547289235808,5850.746472788865,6110.153182067438
Sat3,cluster_40_target_0_136547289238352,5950.722692164803,6148.2620696227805
Sat3,cluster_41_target_0_136547289238112,6047.712103503607,6285.904985463125
Sat3,cluster_42_target_0_136547289244160,6141.742325160852,6383.689679576512
Sat3,cluster_43_target_0_136547289244640,6260.421861282497,6521.069256795968
Sat3,cluster_44_target_0_136547289244736,6380.034680424981,6530.818516217621
Sat3,cluster_45_target_0_136547289245360,6486.852341512817,6600.0
Sat3,cluster_46_target_0_136547289244880,6556.512089889908,6600.0
